name,short_name,abbrev,country_code,icon_link,official_id,fotmob_id,fbref_id,transfermarkt_id,transfermarkt_path
SpVgg Greuther Fürth,Fürth,FUR,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8357_xsmall.png,,8357,12192a4c,65,spvgg-greuther-furth
Borussia Mönchengladbach,Gladbach,GLA,DE,https://images.fotmob.com/image_resources/logo/teamlogo/9788_xsmall.png,,9788,32f3ee20,18,borussia-monchengladbach
Hamburger SV,Hamburg,HAM,DE,https://images.fotmob.com/image_resources/logo/teamlogo/9790_xsmall.png,,9790,26790c6a,41,hamburger-sv
Hannover 96,Hannover,HAN,DE,https://images.fotmob.com/image_resources/logo/teamlogo/9904_xsmall.png,,9904,60b5e41f,42,hannover-96
1. FC Heidenheim 1846,Heidenheim,HEI,DE,https://images.fotmob.com/image_resources/logo/teamlogo/94937_xsmall.png,,94937,18d9d2a7,2036,1-fc-heidenheim-1846
Hertha BSC,Hertha,HER,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8177_xsmall.png,,8177,2818f8bc,44,hertha-bsc
TSG Hoffenheim,Hoffenheim,HOF,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8226_xsmall.png,,8226,033ea6b8,533,tsg-1899-hoffenheim
Holstein Kiel,Holstein Kiel,HOL,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8150_xsmall.png,,8150,2ac661d9,269,holstein-kiel
1. FC Köln,Köln,KOL,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8722_xsmall.png,,8722,bc357bf7,3,1-fc-koln
RB Leipzig,Leipzig,RBL,DE,https://images.fotmob.com/image_resources/logo/teamlogo/178475_xsmall.png,,178475,acbb6a5b,23826,rasenballsport-leipzig
Bayer 04 Leverkusen,Leverkusen,LEV,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8178_xsmall.png,,8178,c7a9f859,15,bayer-04-leverkusen
1. FSV Mainz 05,Mainz,MAI,DE,https://images.fotmob.com/image_resources/logo/teamlogo/9905_xsmall.png,,9905,a224b06a,39,1-fsv-mainz-05
1. FC Nürnberg,Nürnberg,NUR,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8165_xsmall.png,,8165,6f2c108c,4,1-fc-nurnberg
SC Paderborn 07,Paderborn,PAD,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8460_xsmall.png,,8460,d9f93f02,127,sc-paderborn-07
FC Schalke 04,Schalke,SCH,DE,https://images.fotmob.com/image_resources/logo/teamlogo/10189_xsmall.png,,10189,c539e393,33,fc-schalke-04
FC St. Pauli,St. Pauli,STP,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8152_xsmall.png,,8152,54864664,35,fc-st-pauli
VfB Stuttgart,Stuttgart,STU,DE,https://images.fotmob.com/image_resources/logo/teamlogo/10269_xsmall.png,,10269,598bc722,79,vfb-stuttgart
1. FC Union Berlin,Union Berlin,BER,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8149_xsmall.png,,8149,7a41008f,89,1-fc-union-berlin
SV Werder Bremen,Werder,WER,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8697_xsmall.png,,8697,62add3bf,86,sv-werder-bremen
VfL Wolfsburg,Wolfsburg,WLF,DE,https://images.fotmob.com/image_resources/logo/teamlogo/8721_xsmall.png,,8721,4eaa11d7,82,vfl-wolfsburg
AC Ajaccio,Ajaccio,AJA,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8576_xsmall.png,,8576,7a54bb4f,1147,ac-ajaccio
Amiens SC,Amiens,AMI,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8587_xsmall.png,,8587,25622401,1416,amiens-sc
Angers SCO,Angers,ANR,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8121_xsmall.png,,8121,69236f98,1420,sco-angers
AJ Auxerre,Auxerre,AUX,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8583_xsmall.png,,8583,5ae09109,290,aj-auxerre
FC Girondins de Bordeaux,Bordeaux,BOR,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9827_xsmall.png,,9827,123f3efe,40,fc-girondins-bordeaux
Stade Brestois 29,Brest,BRS,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8521_xsmall.png,,8521,fb08dbb3,3911,stade-brest-29
SM Caen,Caen,CAE,FR,https://images.fotmob.com/image_resources/logo/teamlogo/7819_xsmall.png,,7819,74229020,1162,sm-caen
Clermont Foot 63,Clermont,CLE,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8311_xsmall.png,,8311,d9676424,3524,clermont-foot-63
Dijon FCO,Dijon,DIJ,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9836_xsmall.png,,9836,8dfb7350,2969,dijon-fco
EA Guingamp,Guingamp,GUI,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9747_xsmall.png,,9747,d41b5f53,855,ea-guingamp
Havre Athletic Club,Le Havre,LHV,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9746_xsmall.png,,9746,5c2737db,738,ac-le-havre
RC Lens,Lens,LEN,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8588_xsmall.png,,8588,fd4e0f7d,826,rc-lens
LOSC Lille,Lille,LIL,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8639_xsmall.png,,8639,cb188c0c,1082,losc-lille
FC Lorient,Lorient,LOR,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8689_xsmall.png,,8689,d2c87802,1158,fc-lorient
Olympique Lyonnais,Lyon,LYN,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9748_xsmall.png,,9748,d53c0b06,1041,olympique-lyon
Olympique de Marseille,Marseille,MAR,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8592_xsmall.png,,8592,5725cc7b,244,olympique-marseille
FC Metz,Metz,MET,FR,https://images.fotmob.com/image_resources/logo/teamlogo/8550_xsmall.png,,8550,f83960ae,347,fc-metz
AS Monaco,Monaco,MCO,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9829_xsmall.png,,9829,fd6114db,162,as-monaco
Montpellier Hérault SC,Montpellier,MTP,FR,https://images.fotmob.com/image_resources/logo/teamlogo/10249_xsmall.png,,10249,281b0e73,969,montpellier-hsc
FC Nantes,Nantes,NAN,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9830_xsmall.png,,9830,d7a486cd,995,fc-nantes
OGC Nice,Nice,NIC,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9831_xsmall.png,,9831,132ebc33,417,ogc-nizza
Nîmes Olympique,Nîmes,NIM,FR,https://images.fotmob.com/image_resources/logo/teamlogo/6394_xsmall.png,,6394,1cbf5f9e,1160,nimes-olympique
Paris Saint-Germain,PSG,PSG,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9847_xsmall.png,,9847,e2d8892c,583,fc-paris-saint-germain
Stade De Reims,Reims,REI,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9837_xsmall.png,,9837,7fdd64e0,1421,stade-reims
Stade Rennais FC,Rennes,REN,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9851_xsmall.png,,9851,b3072e00,273,fc-stade-rennes
AS Saint-Étienne,Saint-Étienne,STE,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9853_xsmall.png,,9853,d298ef2c,618,as-saint-etienne
RC Strasbourg Alsace,Strasbourg,SBG,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9848_xsmall.png,,9848,c0d3eab4,667,rc-strassburg-alsace
Toulouse FC,Toulouse,TOU,FR,https://images.fotmob.com/image_resources/logo/teamlogo/9941_xsmall.png,,9941,3f8c4b5f,415,fc-toulouse
ES Troyes AC,Troyes,TRO,FR,https://images.fotmob.com/image_resources/logo/teamlogo/10242_xsmall.png,,10242,54195385,1095,es-troyes-ac
